"Cell"	"Drug"	"Cell_BROAD"	"Cell_COSMIC"
"SIDM00040"	2332	"ACH-002202"	1299069
"SIDM00040"	2578	"ACH-002202"	1299069
"SIDM00040"	4212	"ACH-002202"	1299069
"SIDM00040"	4993	"ACH-002202"	1299069
"SIDM00040"	5291	"ACH-002202"	1299069
"SIDM00040"	5978	"ACH-002202"	1299069
"SIDM00040"	8269	"ACH-002202"	1299069
"SIDM00040"	9444	"ACH-002202"	1299069
"SIDM00040"	12035	"ACH-002202"	1299069
"SIDM00040"	60700	"ACH-002202"	1299069
"SIDM00040"	68740	"ACH-002202"	1299069
"SIDM00040"	76044	"ACH-002202"	1299069
"SIDM00040"	87371	"ACH-002202"	1299069
"SIDM00040"	107969	"ACH-002202"	1299069
"SIDM00040"	124886	"ACH-002202"	1299069
"SIDM00040"	156414	"ACH-002202"	1299069
"SIDM00040"	160355	"ACH-002202"	1299069
"SIDM00040"	234820	"ACH-002202"	1299069
"SIDM00040"	243725	"ACH-002202"	1299069
"SIDM00040"	353472	"ACH-002202"	1299069
"SIDM00040"	397888	"ACH-002202"	1299069
"SIDM00040"	442205	"ACH-002202"	1299069
"SIDM00040"	442972	"ACH-002202"	1299069
"SIDM00040"	444732	"ACH-002202"	1299069
"SIDM00040"	446541	"ACH-002202"	1299069
"SIDM00040"	452548	"ACH-002202"	1299069
"SIDM00040"	643462	"ACH-002202"	1299069
"SIDM00040"	644215	"ACH-002202"	1299069
"SIDM00040"	644243	"ACH-002202"	1299069
"SIDM00040"	657237	"ACH-002202"	1299069
"SIDM00040"	992586	"ACH-002202"	1299069
"SIDM00040"	3011155	"ACH-002202"	1299069
"SIDM00040"	3101542	"ACH-002202"	1299069
"SIDM00040"	3827738	"ACH-002202"	1299069
"SIDM00040"	4248455	"ACH-002202"	1299069
"SIDM00040"	5081913	"ACH-002202"	1299069
"SIDM00040"	5287969	"ACH-002202"	1299069
"SIDM00040"	5311510	"ACH-002202"	1299069
"SIDM00040"	5329102	"ACH-002202"	1299069
"SIDM00040"	5351307	"ACH-002202"	1299069
"SIDM00040"	5352062	"ACH-002202"	1299069
"SIDM00040"	5477029	"ACH-002202"	1299069
"SIDM00040"	5717801	"ACH-002202"	1299069
"SIDM00040"	6539732	"ACH-002202"	1299069
"SIDM00040"	6918265	"ACH-002202"	1299069
"SIDM00040"	6918837	"ACH-002202"	1299069
"SIDM00040"	7251185	"ACH-002202"	1299069
"SIDM00040"	9549184	"ACH-002202"	1299069
"SIDM00040"	9549289	"ACH-002202"	1299069
"SIDM00040"	9549297	"ACH-002202"	1299069
"SIDM00040"	9826308	"ACH-002202"	1299069
"SIDM00040"	9907093	"ACH-002202"	1299069
"SIDM00040"	9908783	"ACH-002202"	1299069
"SIDM00040"	10172943	"ACH-002202"	1299069
"SIDM00040"	10302451	"ACH-002202"	1299069
"SIDM00040"	10461815	"ACH-002202"	1299069
"SIDM00040"	11175137	"ACH-002202"	1299069
"SIDM00040"	11234052	"ACH-002202"	1299069
"SIDM00040"	11511120	"ACH-002202"	1299069
"SIDM00040"	11626927	"ACH-002202"	1299069
"SIDM00040"	11676786	"ACH-002202"	1299069
"SIDM00040"	11713159	"ACH-002202"	1299069
"SIDM00040"	11844351	"ACH-002202"	1299069
"SIDM00040"	14998470	"ACH-002202"	1299069
"SIDM00040"	16038120	"ACH-002202"	1299069
"SIDM00040"	16123056	"ACH-002202"	1299069
"SIDM00040"	16218924	"ACH-002202"	1299069
"SIDM00040"	16663089	"ACH-002202"	1299069
"SIDM00040"	16732433	"ACH-002202"	1299069
"SIDM00040"	16760646	"ACH-002202"	1299069
"SIDM00040"	20635522	"ACH-002202"	1299069
"SIDM00040"	23582824	"ACH-002202"	1299069
"SIDM00040"	24739943	"ACH-002202"	1299069
"SIDM00040"	24770514	"ACH-002202"	1299069
"SIDM00040"	24772043	"ACH-002202"	1299069
"SIDM00040"	24825971	"ACH-002202"	1299069
"SIDM00040"	25195294	"ACH-002202"	1299069
"SIDM00040"	25254071	"ACH-002202"	1299069
"SIDM00040"	25260757	"ACH-002202"	1299069
"SIDM00040"	44224257	"ACH-002202"	1299069
"SIDM00040"	44442376	"ACH-002202"	1299069
"SIDM00040"	45168044	"ACH-002202"	1299069
"SIDM00040"	45258277	"ACH-002202"	1299069
"SIDM00040"	46006640	"ACH-002202"	1299069
"SIDM00040"	46192505	"ACH-002202"	1299069
"SIDM00040"	46843056	"ACH-002202"	1299069
"SIDM00040"	46844147	"ACH-002202"	1299069
"SIDM00040"	46911863	"ACH-002202"	1299069
"SIDM00040"	49821040	"ACH-002202"	1299069
"SIDM00040"	49836027	"ACH-002202"	1299069
"SIDM00040"	53315436	"ACH-002202"	1299069
"SIDM00040"	53340666	"ACH-002202"	1299069
"SIDM00040"	53413272	"ACH-002202"	1299069
"SIDM00040"	54670067	"ACH-002202"	1299069
"SIDM00040"	56599306	"ACH-002202"	1299069
"SIDM00040"	66577038	"ACH-002202"	1299069
"SIDM00040"	70983932	"ACH-002202"	1299069
"SIDM00040"	71522234	"ACH-002202"	1299069
"SIDM00040"	71755761	"ACH-002202"	1299069
"SIDM00040"	72201027	"ACH-002202"	1299069
"SIDM00040"	72943187	"ACH-002202"	1299069
"SIDM00040"	73010930	"ACH-002202"	1299069
"SIDM00040"	76285486	"ACH-002202"	1299069
"SIDM00040"	76685059	"ACH-002202"	1299069
"SIDM00040"	77232197	"ACH-002202"	1299069
"SIDM00040"	78357767	"ACH-002202"	1299069
"SIDM00040"	85668777	"ACH-002202"	1299069
"SIDM00040"	90488984	"ACH-002202"	1299069
"SIDM00040"	118693659	"ACH-002202"	1299069
"SIDM00040"	121271792	"ACH-002202"	1299069
"SIDM00040"	122540908	"ACH-002202"	1299069
"SIDM00040"	131634760	"ACH-002202"	1299069
"SIDM00040"	132275018	"ACH-002202"	1299069
"SIDM00040"	135398738	"ACH-002202"	1299069
"SIDM00040"	135402034	"ACH-002202"	1299069
"SIDM00040"	135410875	"ACH-002202"	1299069
"SIDM00040"	135423438	"ACH-002202"	1299069
"SIDM00040"	135691163	"ACH-002202"	1299069
"SIDM00041"	864	"ACH-002306"	1299061
"SIDM00041"	2332	"ACH-002306"	1299061
"SIDM00041"	2578	"ACH-002306"	1299061
"SIDM00041"	3796	"ACH-002306"	1299061
"SIDM00041"	4212	"ACH-002306"	1299061
"SIDM00041"	4993	"ACH-002306"	1299061
"SIDM00041"	5291	"ACH-002306"	1299061
"SIDM00041"	5978	"ACH-002306"	1299061
"SIDM00041"	8249	"ACH-002306"	1299061
"SIDM00041"	8269	"ACH-002306"	1299061
"SIDM00041"	9444	"ACH-002306"	1299061
"SIDM00041"	12035	"ACH-002306"	1299061
"SIDM00041"	42640	"ACH-002306"	1299061
"SIDM00041"	60700	"ACH-002306"	1299061
"SIDM00041"	68740	"ACH-002306"	1299061
"SIDM00041"	76044	"ACH-002306"	1299061
"SIDM00041"	87371	"ACH-002306"	1299061
"SIDM00041"	107969	"ACH-002306"	1299061
"SIDM00041"	124886	"ACH-002306"	1299061
"SIDM00041"	156414	"ACH-002306"	1299061
"SIDM00041"	160355	"ACH-002306"	1299061
"SIDM00041"	234820	"ACH-002306"	1299061
"SIDM00041"	243725	"ACH-002306"	1299061
"SIDM00041"	353472	"ACH-002306"	1299061
"SIDM00041"	397888	"ACH-002306"	1299061
"SIDM00041"	442205	"ACH-002306"	1299061
"SIDM00041"	442972	"ACH-002306"	1299061
"SIDM00041"	444732	"ACH-002306"	1299061
"SIDM00041"	446541	"ACH-002306"	1299061
"SIDM00041"	447912	"ACH-002306"	1299061
"SIDM00041"	452548	"ACH-002306"	1299061
"SIDM00041"	643462	"ACH-002306"	1299061
"SIDM00041"	644215	"ACH-002306"	1299061
"SIDM00041"	657237	"ACH-002306"	1299061
"SIDM00041"	704473	"ACH-002306"	1299061
"SIDM00041"	992586	"ACH-002306"	1299061
"SIDM00041"	2130404	"ACH-002306"	1299061
"SIDM00041"	3011155	"ACH-002306"	1299061
"SIDM00041"	3101542	"ACH-002306"	1299061
"SIDM00041"	3827738	"ACH-002306"	1299061
"SIDM00041"	4248455	"ACH-002306"	1299061
"SIDM00041"	5081913	"ACH-002306"	1299061
"SIDM00041"	5113032	"ACH-002306"	1299061
"SIDM00041"	5287969	"ACH-002306"	1299061
"SIDM00041"	5311510	"ACH-002306"	1299061
"SIDM00041"	5329102	"ACH-002306"	1299061
"SIDM00041"	5351307	"ACH-002306"	1299061
"SIDM00041"	5352062	"ACH-002306"	1299061
"SIDM00041"	5477029	"ACH-002306"	1299061
"SIDM00041"	5717801	"ACH-002306"	1299061
"SIDM00041"	6445562	"ACH-002306"	1299061
"SIDM00041"	6539732	"ACH-002306"	1299061
"SIDM00041"	6852167	"ACH-002306"	1299061
"SIDM00041"	6918265	"ACH-002306"	1299061
"SIDM00041"	6918638	"ACH-002306"	1299061
"SIDM00041"	6918837	"ACH-002306"	1299061
"SIDM00041"	6918848	"ACH-002306"	1299061
"SIDM00041"	7251185	"ACH-002306"	1299061
"SIDM00041"	9549184	"ACH-002306"	1299061
"SIDM00041"	9549289	"ACH-002306"	1299061
"SIDM00041"	9549297	"ACH-002306"	1299061
"SIDM00041"	9810884	"ACH-002306"	1299061
"SIDM00041"	9826308	"ACH-002306"	1299061
"SIDM00041"	9868037	"ACH-002306"	1299061
"SIDM00041"	9874913	"ACH-002306"	1299061
"SIDM00041"	9884685	"ACH-002306"	1299061
"SIDM00041"	9903786	"ACH-002306"	1299061
"SIDM00041"	9907093	"ACH-002306"	1299061
"SIDM00041"	9908783	"ACH-002306"	1299061
"SIDM00041"	9910224	"ACH-002306"	1299061
"SIDM00041"	9911830	"ACH-002306"	1299061
"SIDM00041"	9956222	"ACH-002306"	1299061
"SIDM00041"	9967941	"ACH-002306"	1299061
"SIDM00041"	10074640	"ACH-002306"	1299061
"SIDM00041"	10172943	"ACH-002306"	1299061
"SIDM00041"	10302451	"ACH-002306"	1299061
"SIDM00041"	10461815	"ACH-002306"	1299061
"SIDM00041"	11175137	"ACH-002306"	1299061
"SIDM00041"	11234052	"ACH-002306"	1299061
"SIDM00041"	11282283	"ACH-002306"	1299061
"SIDM00041"	11485656	"ACH-002306"	1299061
"SIDM00041"	11493598	"ACH-002306"	1299061
"SIDM00041"	11511120	"ACH-002306"	1299061
"SIDM00041"	11617559	"ACH-002306"	1299061
"SIDM00041"	11626927	"ACH-002306"	1299061
"SIDM00041"	11676786	"ACH-002306"	1299061
"SIDM00041"	11844351	"ACH-002306"	1299061
"SIDM00041"	14998470	"ACH-002306"	1299061
"SIDM00041"	16038120	"ACH-002306"	1299061
"SIDM00041"	16123056	"ACH-002306"	1299061
"SIDM00041"	16218924	"ACH-002306"	1299061
"SIDM00041"	16663089	"ACH-002306"	1299061
"SIDM00041"	16722836	"ACH-002306"	1299061
"SIDM00041"	16725726	"ACH-002306"	1299061
"SIDM00041"	16732433	"ACH-002306"	1299061
"SIDM00041"	16747388	"ACH-002306"	1299061
"SIDM00041"	16760646	"ACH-002306"	1299061
"SIDM00041"	20635522	"ACH-002306"	1299061
"SIDM00041"	23582824	"ACH-002306"	1299061
"SIDM00041"	24739943	"ACH-002306"	1299061
"SIDM00041"	24756910	"ACH-002306"	1299061
"SIDM00041"	24770514	"ACH-002306"	1299061
"SIDM00041"	24772043	"ACH-002306"	1299061
"SIDM00041"	24772860	"ACH-002306"	1299061
"SIDM00041"	24825971	"ACH-002306"	1299061
"SIDM00041"	24889392	"ACH-002306"	1299061
"SIDM00041"	24894414	"ACH-002306"	1299061
"SIDM00041"	24951314	"ACH-002306"	1299061
"SIDM00041"	25102847	"ACH-002306"	1299061
"SIDM00041"	25167777	"ACH-002306"	1299061
"SIDM00041"	25195294	"ACH-002306"	1299061
"SIDM00041"	25195352	"ACH-002306"	1299061
"SIDM00041"	25254071	"ACH-002306"	1299061
"SIDM00041"	25257557	"ACH-002306"	1299061
"SIDM00041"	25260757	"ACH-002306"	1299061
"SIDM00041"	42628507	"ACH-002306"	1299061
"SIDM00041"	44143370	"ACH-002306"	1299061
"SIDM00041"	44224257	"ACH-002306"	1299061
"SIDM00041"	44442376	"ACH-002306"	1299061
"SIDM00041"	45168044	"ACH-002306"	1299061
"SIDM00041"	45258277	"ACH-002306"	1299061
"SIDM00041"	46006640	"ACH-002306"	1299061
"SIDM00041"	46191454	"ACH-002306"	1299061
"SIDM00041"	46192505	"ACH-002306"	1299061
"SIDM00041"	46843056	"ACH-002306"	1299061
"SIDM00041"	46843648	"ACH-002306"	1299061
"SIDM00041"	46843906	"ACH-002306"	1299061
"SIDM00041"	46844147	"ACH-002306"	1299061
"SIDM00041"	46911863	"ACH-002306"	1299061
"SIDM00041"	49806720	"ACH-002306"	1299061
"SIDM00041"	49821040	"ACH-002306"	1299061
"SIDM00041"	49836027	"ACH-002306"	1299061
"SIDM00041"	49850262	"ACH-002306"	1299061
"SIDM00041"	51358113	"ACH-002306"	1299061
"SIDM00041"	53315436	"ACH-002306"	1299061
"SIDM00041"	53340664	"ACH-002306"	1299061
"SIDM00041"	53340666	"ACH-002306"	1299061
"SIDM00041"	53413272	"ACH-002306"	1299061
"SIDM00041"	54670067	"ACH-002306"	1299061
"SIDM00041"	56599306	"ACH-002306"	1299061
"SIDM00041"	56965967	"ACH-002306"	1299061
"SIDM00041"	66577006	"ACH-002306"	1299061
"SIDM00041"	66577038	"ACH-002306"	1299061
"SIDM00041"	68234129	"ACH-002306"	1299061
"SIDM00041"	69923936	"ACH-002306"	1299061
"SIDM00041"	70983932	"ACH-002306"	1299061
"SIDM00041"	71522234	"ACH-002306"	1299061
"SIDM00041"	71550931	"ACH-002306"	1299061
"SIDM00041"	71755761	"ACH-002306"	1299061
"SIDM00041"	72201027	"ACH-002306"	1299061
"SIDM00041"	72943187	"ACH-002306"	1299061
"SIDM00041"	73010930	"ACH-002306"	1299061
"SIDM00041"	73265211	"ACH-002306"	1299061
"SIDM00041"	73265214	"ACH-002306"	1299061
"SIDM00041"	73707530	"ACH-002306"	1299061
"SIDM00041"	76285486	"ACH-002306"	1299061
"SIDM00041"	77232197	"ACH-002306"	1299061
"SIDM00041"	78357767	"ACH-002306"	1299061
"SIDM00041"	118693659	"ACH-002306"	1299061
"SIDM00041"	121271792	"ACH-002306"	1299061
"SIDM00041"	122540908	"ACH-002306"	1299061
"SIDM00041"	131634760	"ACH-002306"	1299061
"SIDM00041"	132275018	"ACH-002306"	1299061
"SIDM00041"	135398738	"ACH-002306"	1299061
"SIDM00041"	135402034	"ACH-002306"	1299061
"SIDM00041"	135410875	"ACH-002306"	1299061
"SIDM00041"	135423438	"ACH-002306"	1299061
"SIDM00041"	135465539	"ACH-002306"	1299061
"SIDM00041"	135659062	"ACH-002306"	1299061
"SIDM00041"	135691163	"ACH-002306"	1299061
"SIDM00042"	4993	"ACH-002186"	1298533
"SIDM00042"	5291	"ACH-002186"	1298533
"SIDM00042"	76044	"ACH-002186"	1298533
"SIDM00042"	160355	"ACH-002186"	1298533
"SIDM00042"	442972	"ACH-002186"	1298533
"SIDM00042"	644215	"ACH-002186"	1298533
"SIDM00042"	5311510	"ACH-002186"	1298533
"SIDM00042"	5329102	"ACH-002186"	1298533
"SIDM00042"	5494449	"ACH-002186"	1298533
"SIDM00042"	5717801	"ACH-002186"	1298533
"SIDM00042"	7251185	"ACH-002186"	1298533
"SIDM00042"	9549184	"ACH-002186"	1298533
"SIDM00042"	9826308	"ACH-002186"	1298533
"SIDM00042"	9907093	"ACH-002186"	1298533
"SIDM00042"	10172943	"ACH-002186"	1298533
"SIDM00042"	10302451	"ACH-002186"	1298533
"SIDM00042"	10461815	"ACH-002186"	1298533
"SIDM00042"	11626927	"ACH-002186"	1298533
"SIDM00042"	11676786	"ACH-002186"	1298533
"SIDM00042"	11844351	"ACH-002186"	1298533
"SIDM00042"	16038120	"ACH-002186"	1298533
"SIDM00042"	16663089	"ACH-002186"	1298533
"SIDM00042"	16760646	"ACH-002186"	1298533
"SIDM00042"	20635522	"ACH-002186"	1298533
"SIDM00042"	24825971	"ACH-002186"	1298533
"SIDM00042"	46843906	"ACH-002186"	1298533
"SIDM00042"	46844147	"ACH-002186"	1298533
"SIDM00042"	49821040	"ACH-002186"	1298533
"SIDM00042"	49836027	"ACH-002186"	1298533
"SIDM00043"	864	"ACH-002297"	1298531
"SIDM00043"	4993	"ACH-002297"	1298531
"SIDM00043"	5291	"ACH-002297"	1298531
"SIDM00043"	9444	"ACH-002297"	1298531
"SIDM00043"	12035	"ACH-002297"	1298531
"SIDM00043"	76044	"ACH-002297"	1298531
"SIDM00043"	124886	"ACH-002297"	1298531
"SIDM00043"	160355	"ACH-002297"	1298531
"SIDM00043"	442972	"ACH-002297"	1298531
"SIDM00043"	446541	"ACH-002297"	1298531
"SIDM00043"	644215	"ACH-002297"	1298531
"SIDM00043"	992586	"ACH-002297"	1298531
"SIDM00043"	2130404	"ACH-002297"	1298531
"SIDM00043"	5311510	"ACH-002297"	1298531
"SIDM00043"	5329102	"ACH-002297"	1298531
"SIDM00043"	5717801	"ACH-002297"	1298531
"SIDM00043"	6445562	"ACH-002297"	1298531
"SIDM00043"	7251185	"ACH-002297"	1298531
"SIDM00043"	9549184	"ACH-002297"	1298531
"SIDM00043"	9826308	"ACH-002297"	1298531
"SIDM00043"	9907093	"ACH-002297"	1298531
"SIDM00043"	10172943	"ACH-002297"	1298531
"SIDM00043"	10302451	"ACH-002297"	1298531
"SIDM00043"	10461815	"ACH-002297"	1298531
"SIDM00043"	11626927	"ACH-002297"	1298531
"SIDM00043"	11676786	"ACH-002297"	1298531
"SIDM00043"	11844351	"ACH-002297"	1298531
"SIDM00043"	16038120	"ACH-002297"	1298531
"SIDM00043"	16663089	"ACH-002297"	1298531
"SIDM00043"	16760646	"ACH-002297"	1298531
"SIDM00043"	20635522	"ACH-002297"	1298531
"SIDM00043"	24825971	"ACH-002297"	1298531
"SIDM00043"	44442376	"ACH-002297"	1298531
"SIDM00043"	45168044	"ACH-002297"	1298531
"SIDM00043"	46843906	"ACH-002297"	1298531
"SIDM00043"	46844147	"ACH-002297"	1298531
"SIDM00043"	49821040	"ACH-002297"	1298531
"SIDM00043"	49836027	"ACH-002297"	1298531
"SIDM00043"	53315436	"ACH-002297"	1298531
"SIDM00043"	54670067	"ACH-002297"	1298531
"SIDM00043"	70983932	"ACH-002297"	1298531
"SIDM00043"	71550931	"ACH-002297"	1298531
"SIDM00043"	76285486	"ACH-002297"	1298531
"SIDM00043"	78357767	"ACH-002297"	1298531
"SIDM00043"	121271792	"ACH-002297"	1298531
"SIDM00043"	122540908	"ACH-002297"	1298531
"SIDM00043"	132275018	"ACH-002297"	1298531
"SIDM00044"	1018	"ACH-002295"	1298529
"SIDM00044"	2332	"ACH-002295"	1298529
"SIDM00044"	2578	"ACH-002295"	1298529
"SIDM00044"	3899	"ACH-002295"	1298529
"SIDM00044"	4212	"ACH-002295"	1298529
"SIDM00044"	4261	"ACH-002295"	1298529
"SIDM00044"	4993	"ACH-002295"	1298529
"SIDM00044"	5291	"ACH-002295"	1298529
"SIDM00044"	5978	"ACH-002295"	1298529
"SIDM00044"	8269	"ACH-002295"	1298529
"SIDM00044"	60700	"ACH-002295"	1298529
"SIDM00044"	68740	"ACH-002295"	1298529
"SIDM00044"	76044	"ACH-002295"	1298529
"SIDM00044"	87371	"ACH-002295"	1298529
"SIDM00044"	156414	"ACH-002295"	1298529
"SIDM00044"	160355	"ACH-002295"	1298529
"SIDM00044"	234820	"ACH-002295"	1298529
"SIDM00044"	243725	"ACH-002295"	1298529
"SIDM00044"	353472	"ACH-002295"	1298529
"SIDM00044"	397888	"ACH-002295"	1298529
"SIDM00044"	442205	"ACH-002295"	1298529
"SIDM00044"	442972	"ACH-002295"	1298529
"SIDM00044"	452548	"ACH-002295"	1298529
"SIDM00044"	643462	"ACH-002295"	1298529
"SIDM00044"	644215	"ACH-002295"	1298529
"SIDM00044"	657237	"ACH-002295"	1298529
"SIDM00044"	2155128	"ACH-002295"	1298529
"SIDM00044"	2802462	"ACH-002295"	1298529
"SIDM00044"	3011155	"ACH-002295"	1298529
"SIDM00044"	5311510	"ACH-002295"	1298529
"SIDM00044"	5329102	"ACH-002295"	1298529
"SIDM00044"	5352062	"ACH-002295"	1298529
"SIDM00044"	5477029	"ACH-002295"	1298529
"SIDM00044"	5494449	"ACH-002295"	1298529
"SIDM00044"	5717801	"ACH-002295"	1298529
"SIDM00044"	7251185	"ACH-002295"	1298529
"SIDM00044"	9549184	"ACH-002295"	1298529
"SIDM00044"	9826308	"ACH-002295"	1298529
"SIDM00044"	9907093	"ACH-002295"	1298529
"SIDM00044"	9936746	"ACH-002295"	1298529
"SIDM00044"	10172943	"ACH-002295"	1298529
"SIDM00044"	10302451	"ACH-002295"	1298529
"SIDM00044"	10461815	"ACH-002295"	1298529
"SIDM00044"	11511120	"ACH-002295"	1298529
"SIDM00044"	11626927	"ACH-002295"	1298529
"SIDM00044"	11655119	"ACH-002295"	1298529
"SIDM00044"	11676786	"ACH-002295"	1298529
"SIDM00044"	11844351	"ACH-002295"	1298529
"SIDM00044"	16038120	"ACH-002295"	1298529
"SIDM00044"	16663089	"ACH-002295"	1298529
"SIDM00044"	16760646	"ACH-002295"	1298529
"SIDM00044"	20635522	"ACH-002295"	1298529
"SIDM00044"	23582824	"ACH-002295"	1298529
"SIDM00044"	24739943	"ACH-002295"	1298529
"SIDM00044"	24753719	"ACH-002295"	1298529
"SIDM00044"	24821094	"ACH-002295"	1298529
"SIDM00044"	24825971	"ACH-002295"	1298529
"SIDM00044"	24958200	"ACH-002295"	1298529
"SIDM00044"	25099184	"ACH-002295"	1298529
"SIDM00044"	35397514	"ACH-002295"	1298529
"SIDM00044"	42623951	"ACH-002295"	1298529
"SIDM00044"	44442376	"ACH-002295"	1298529
"SIDM00044"	44462758	"ACH-002295"	1298529
"SIDM00044"	46236925	"ACH-002295"	1298529
"SIDM00044"	46843056	"ACH-002295"	1298529
"SIDM00044"	46843906	"ACH-002295"	1298529
"SIDM00044"	46844147	"ACH-002295"	1298529
"SIDM00044"	46926350	"ACH-002295"	1298529
"SIDM00044"	49821040	"ACH-002295"	1298529
"SIDM00044"	49836027	"ACH-002295"	1298529
"SIDM00044"	52918385	"ACH-002295"	1298529
"SIDM00044"	53469448	"ACH-002295"	1298529
"SIDM00044"	59472121	"ACH-002295"	1298529
"SIDM00044"	59473233	"ACH-002295"	1298529
"SIDM00044"	60167849	"ACH-002295"	1298529
"SIDM00044"	71522234	"ACH-002295"	1298529
"SIDM00044"	71550931	"ACH-002295"	1298529
"SIDM00044"	72200024	"ACH-002295"	1298529
"SIDM00044"	72201027	"ACH-002295"	1298529
"SIDM00044"	72943187	"ACH-002295"	1298529
"SIDM00044"	73010930	"ACH-002295"	1298529
"SIDM00044"	73555129	"ACH-002295"	1298529
"SIDM00044"	118693659	"ACH-002295"	1298529
"SIDM00044"	131634760	"ACH-002295"	1298529
"SIDM00044"	135398738	"ACH-002295"	1298529
"SIDM00044"	135564749	"ACH-002295"	1298529
"SIDM00045"	1018	"ACH-002141"	1322224
"SIDM00045"	2332	"ACH-002141"	1322224
"SIDM00045"	2578	"ACH-002141"	1322224
"SIDM00045"	3899	"ACH-002141"	1322224
"SIDM00045"	4212	"ACH-002141"	1322224
"SIDM00045"	5978	"ACH-002141"	1322224
"SIDM00045"	8269	"ACH-002141"	1322224
"SIDM00045"	60700	"ACH-002141"	1322224
"SIDM00045"	68740	"ACH-002141"	1322224
"SIDM00045"	87371	"ACH-002141"	1322224
"SIDM00045"	234820	"ACH-002141"	1322224
"SIDM00045"	243725	"ACH-002141"	1322224
"SIDM00045"	353472	"ACH-002141"	1322224
"SIDM00045"	397888	"ACH-002141"	1322224
"SIDM00045"	442205	"ACH-002141"	1322224
"SIDM00045"	452548	"ACH-002141"	1322224
"SIDM00045"	643462	"ACH-002141"	1322224
"SIDM00045"	644243	"ACH-002141"	1322224
"SIDM00045"	657237	"ACH-002141"	1322224
"SIDM00045"	2155128	"ACH-002141"	1322224
"SIDM00045"	2802462	"ACH-002141"	1322224
"SIDM00045"	3011155	"ACH-002141"	1322224
"SIDM00045"	5352062	"ACH-002141"	1322224
"SIDM00045"	5477029	"ACH-002141"	1322224
"SIDM00045"	6918638	"ACH-002141"	1322224
"SIDM00045"	9936746	"ACH-002141"	1322224
"SIDM00045"	11655119	"ACH-002141"	1322224
"SIDM00045"	24753719	"ACH-002141"	1322224
"SIDM00045"	24756910	"ACH-002141"	1322224
"SIDM00045"	24821094	"ACH-002141"	1322224
